Buyer ID,Name,Preferred Art Styles,Favorite Mediums,Buying Motivation
b73ac537-c2c2-4bf1-9fc5-a8842e86df13,Susan Lamb,Abstract,"Sculpture, Ceramics, Photography","Build a Collection, Inspire Me"
cd7b2b6d-4c3d-4b83-916d-07f4a34091e7,Michael Mann,Abstract,Oil,"Build a Collection, Decorate Home/Space, Support Artists, Inspire Me, Investment"
53152e0c-2206-4a77-aae4-57cffbeec416,Nicole Hoffman,Contemporary Surrealism,"Watercolor, Mixed Media, Oil","Support Artists, Investment"
499925e8-2866-44f7-a771-d1455ced0705,Mark Bowen,"Expressive Figurative, Abstract, Other",Oil,"Decorate Home/Space, Investment"
e981dda5-36d5-452b-8048-e9816d0676de,Rachael Howard,"Abstract, Expressive Figurative",Oil,"Build a Collection, Decorate Home/Space, Inspire Me, Investment"
e6cb4d9e-49fe-463f-bac0-39aabc5b1f00,Sarah Green,"Realist Figurative, Expressive Figurative","Ceramics, Oil, Acrylic",Inspire Me
7a371cb6-c7be-4169-a059-f416b23f562e,Jordan Holmes,"Street Art, Abstract",Oil,"Build a Collection, Decorate Home/Space"
5c9e6a48-ab8b-4180-8b8d-8d91f25d0cf5,Miguel Delgado,Realist Figurative,"Acrylic, Mixed Media","Build a Collection, Support Artists, Inspire Me, Investment"
62e12f05-7d97-41a7-a4a4-2352296b49bd,Gwendolyn Austin,Contemporary Surrealism,"Prints & Multiples, Oil","Build a Collection, Support Artists"
e3081034-f325-43ea-84a3-22896bdc4030,Randy Carter,Conceptual,"Mixed Media, Oil","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me"
6e14b782-05aa-4d58-92d0-645637db6f25,Jacob Burns,"Expressive Figurative, Realist Figurative, Contemporary Surrealism","Acrylic, Digital",Investment
83620279-285b-46a2-bf6b-ad4bc8e3d638,Eric Vargas,Minimalist,Acrylic,"Decorate Home/Space, Support Artists"
f8c73acf-6ed4-47fc-b1f8-bc538a676c84,Cheryl Bryant,"Expressive Figurative, Landscape",Acrylic,Build a Collection
f2dfe0d6-de67-44c3-86de-7e1d6d419f15,Holly Perry,Abstract,Watercolor,"Build a Collection, Support Artists, Inspire Me"
8ff87036-66ce-42fd-802b-2c76a97c759f,Sandra Howard,Expressive Figurative,Oil,"Decorate Home/Space, Support Artists, Inspire Me, Investment"
06ff2a99-9043-4278-9b60-832270cccfef,Patricia Newton,"Other, Minimalist",Digital,Build a Collection
6528e1fd-c6c1-45d7-8d8e-bbbe2eb7e95e,Anthony Hutchinson,"Expressive Figurative, Abstract, Realist Figurative","Mixed Media, Ceramics, Oil","Build a Collection, Inspire Me, Investment"
d8574b6d-1e9f-47c6-82fe-02b8a07c2a3f,Austin Barnes,"Abstract, Contemporary Surrealism","Acrylic, Digital, Watercolor","Build a Collection, Decorate Home/Space"
008efc1a-4c01-46a0-9b6d-80349a27236f,Felicia Evans,"Realist Figurative, Landscape, Neo-Abstract Expressionist","Watercolor, Acrylic, Sculpture","Build a Collection, Support Artists, Investment"
6ce55978-316b-47bc-a582-a46d2f93604b,Mr. Patrick Henderson DDS,"Expressive Figurative, Abstract, Minimalist","Oil, Watercolor, Acrylic",Build a Collection
f08be6ae-4af9-416e-9906-dac754c2c5e7,Julia Ortiz,"Expressive Figurative, Abstract, Contemporary Surrealism",Digital,"Build a Collection, Investment"
a3c20004-1c33-40c0-8d82-dbe172cf087c,William Fritz,"Expressive Figurative, Abstract","Acrylic, Mixed Media","Build a Collection, Decorate Home/Space"
b2ce1657-186e-43de-b32e-18515e0f57e5,Keith Lopez,"Neo-Abstract Expressionist, Expressive Figurative","Acrylic, Oil, Digital","Build a Collection, Decorate Home/Space, Investment"
2d9cec05-c19b-4275-b781-8f76bafdf4a9,Janice Gonzales,"Realist Figurative, Neo-Abstract Expressionist, Abstract","Digital, Watercolor","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me"
4ed90d61-80be-4464-8eb4-9781dd9a21ae,Robert Smith,"Expressive Figurative, Abstract, Minimalist","Oil, Ceramics","Build a Collection, Support Artists, Investment"
b558dd9c-bffd-4564-afd4-fc7537bac68a,Jessica Maxwell,"Expressive Figurative, Realist Figurative","Sculpture, Digital","Decorate Home/Space, Support Artists, Investment"
20890672-a66e-488a-86b6-eeeb69ac14cb,George Glover,"Abstract, Expressive Figurative, Minimalist",Oil,"Build a Collection, Decorate Home/Space, Support Artists, Investment"
5aed5474-15c2-4bea-bac2-e83046f2c58e,Nicholas Mendez,"Expressive Figurative, Abstract","Acrylic, Photography",Build a Collection
6bbb72e5-8f4a-46c7-ac47-4fa15a22e4e7,Cory Carpenter,"Realist Figurative, Conceptual",Oil,"Decorate Home/Space, Support Artists, Inspire Me"
2a9975fd-e101-4251-a5c9-e138c4d95b71,Rebecca Harris,Abstract,"Digital, Photography","Build a Collection, Investment"
e0153e19-258e-4a3d-aed2-a2a391568cc3,Kathleen Johnson,Landscape,Oil,"Build a Collection, Decorate Home/Space"
565a608e-3718-4e3b-9508-3986978af070,James Watkins,"Conceptual, Abstract",Oil,"Build a Collection, Decorate Home/Space, Inspire Me"
91ea7ad4-a4d2-4277-9776-8cab992474ec,Amanda Boyd,Minimalist,"Watercolor, Acrylic, Oil",Build a Collection
967ad42a-20ad-4b6e-8167-8a30fbc9f687,Julie Larson,"Realist Figurative, Expressive Figurative, Conceptual","Oil, Sculpture","Decorate Home/Space, Support Artists, Inspire Me, Investment"
fb663abc-7c1d-4054-b3db-d9fe49535c13,Brett Manning,"Expressive Figurative, Conceptual","Digital, Acrylic","Build a Collection, Support Artists"
5addef82-47d1-4f5e-8f42-81b7f3f25079,Jordan Bates,"Street Art, Expressive Figurative","Acrylic, Oil, Mixed Media","Build a Collection, Decorate Home/Space, Support Artists, Investment"
29ca3029-2737-4979-a0cc-5876e256650b,Lisa Scott,"Realist Figurative, Street Art","Acrylic, Photography","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me, Investment"
9c95e434-d3c4-4632-a952-27c9395d2df0,Kristen Smith,"Abstract, Realist Figurative, Landscape",Sculpture,"Build a Collection, Decorate Home/Space, Support Artists, Inspire Me, Investment"
364cb4b8-a5b1-42a6-8f80-47a4d0f5a1f9,Douglas Patterson,Expressive Figurative,"Digital, Mixed Media, Ceramics","Build a Collection, Decorate Home/Space, Support Artists, Investment"
14442156-4de3-4e96-90db-c52aa969cb14,Andrew Parker,Minimalist,"Digital, Photography","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me"
e1391287-1bb0-4b4b-9483-d73519430074,Christopher Knight,"Contemporary Surrealism, Expressive Figurative","Acrylic, Oil","Decorate Home/Space, Inspire Me, Investment"
eaec3e78-94ce-4e0b-a72b-77a05dcc019a,Christian Johnson,"Expressive Figurative, Realist Figurative, Abstract","Oil, Sculpture","Decorate Home/Space, Inspire Me, Investment"
8d8e4c12-1b2d-45ca-bf05-e1e0d4cf21f2,Cheryl Chambers,Expressive Figurative,"Ceramics, Watercolor","Decorate Home/Space, Investment"
189691ba-314f-4725-88b5-b830cc9f447f,Charles Martinez,Contemporary Surrealism,"Mixed Media, Oil, Sculpture","Decorate Home/Space, Investment"
43c1ccc0-be63-447e-9010-66705f7b8b1d,Sarah Melendez,Minimalist,"Acrylic, Watercolor, Sculpture","Build a Collection, Decorate Home/Space, Support Artists"
c7258969-de22-451f-99eb-8e2974c2b5ef,George Little,"Street Art, Contemporary Surrealism, Minimalist","Oil, Watercolor","Decorate Home/Space, Support Artists, Inspire Me, Investment"
f7c36dfd-948c-45ef-a48a-5e896e95f4c5,Brent Olsen,Contemporary Surrealism,"Watercolor, Sculpture","Decorate Home/Space, Support Artists, Inspire Me, Investment"
5c1b45f7-082f-483a-9f6b-f3649e98c1f1,Corey Harding,"Abstract, Minimalist, Expressive Figurative","Mixed Media, Acrylic","Build a Collection, Decorate Home/Space"
f34eac0a-38cf-4aca-a552-4038331b4a89,Michael Sullivan,Expressive Figurative,Mixed Media,"Build a Collection, Support Artists, Inspire Me, Investment"
b5233956-30ee-4fb0-9d4c-6911a46d81fa,Michael George,"Abstract, Minimalist","Oil, Sculpture","Decorate Home/Space, Inspire Me, Investment"
64e91f42-05df-41f4-be19-ac8363e73fe7,Peter Gardner,Expressive Figurative,"Oil, Sculpture","Build a Collection, Decorate Home/Space, Inspire Me"
e2c57d51-f553-496f-b3f1-eae8a6fb88c0,Caleb Harrison,Expressive Figurative,"Oil, Sculpture, Mixed Media","Build a Collection, Support Artists, Inspire Me"
5beeed63-622e-455d-87ea-2afc58d66e59,Teresa Henderson,"Realist Figurative, Contemporary Surrealism","Oil, Photography","Decorate Home/Space, Inspire Me"
f5777d62-a171-44fc-8501-26ea1fe1d827,Courtney Moses,"Realist Figurative, Expressive Figurative","Sculpture, Ceramics",Inspire Me
85c2618f-9297-4a08-a9a2-ed543bc56297,Joshua Cruz,"Expressive Figurative, Abstract, Realist Figurative",Photography,"Build a Collection, Decorate Home/Space, Support Artists, Investment"
1a037c30-1344-4527-abda-3f397e551d7a,Alexis Silva,"Street Art, Expressive Figurative","Oil, Watercolor, Photography","Build a Collection, Decorate Home/Space, Investment"
9a291442-1372-45f7-9155-84574e6e29b7,James Hickman,"Expressive Figurative, Minimalist, Abstract","Mixed Media, Oil, Acrylic","Decorate Home/Space, Inspire Me, Investment"
19ee9600-81a7-48aa-b56c-45e76b7e033c,Christopher Johnson,Realist Figurative,"Oil, Ceramics, Sculpture","Build a Collection, Inspire Me"
04ac891b-e6ae-4b06-a8d1-55bd3387d248,Blake Lee,Abstract,Acrylic,"Build a Collection, Decorate Home/Space, Support Artists, Inspire Me"
c59ed520-f026-477d-bedb-4278da2753aa,Kari King,"Landscape, Realist Figurative, Abstract",Digital,"Decorate Home/Space, Support Artists, Inspire Me"
e4926340-7f83-4631-a5a0-c095a422ae89,Edward Oliver,Abstract,"Oil, Acrylic, Watercolor","Decorate Home/Space, Support Artists, Inspire Me"
60a6fae5-84e3-4960-83bf-9d90fd1244be,Christina Mendoza,"Minimalist, Expressive Figurative, Realist Figurative",Photography,"Build a Collection, Decorate Home/Space, Inspire Me, Investment"
d3836c96-27fb-4c25-9932-1e1eb2b11a96,Edgar Summers,Expressive Figurative,Digital,"Build a Collection, Support Artists, Inspire Me"
03f3b4e5-9726-4db4-a892-bd4dd3cee783,Larry Obrien,"Abstract, Realist Figurative",Sculpture,"Build a Collection, Decorate Home/Space, Support Artists, Inspire Me"
a4ad3471-d889-4822-a92d-55b465981a87,Michele Padilla,Expressive Figurative,Digital,"Build a Collection, Decorate Home/Space, Inspire Me"
b7712ee5-b7ef-4faf-a431-18afd5e8ce8d,Willie Grant,Expressive Figurative,"Prints & Multiples, Sculpture, Oil","Build a Collection, Support Artists, Inspire Me"
b772378e-96fa-4b99-b8ca-8b764d437037,Michelle Clark,"Realist Figurative, Abstract","Oil, Watercolor, Photography","Build a Collection, Decorate Home/Space, Inspire Me, Investment"
30f7fc70-72ef-42e5-9917-0d0621cfb155,Sarah Livingston,"Abstract, Realist Figurative",Mixed Media,"Build a Collection, Decorate Home/Space, Support Artists"
005c4992-bd91-46cb-80ea-fe71fb36c686,Joseph Tran,Minimalist,"Watercolor, Oil","Build a Collection, Decorate Home/Space, Inspire Me, Investment"
78898d2d-8527-427a-bc98-7c0200b864af,Karen Lee,Expressive Figurative,Oil,"Support Artists, Investment"
edfd8fd1-7ad3-404d-af18-25befd4deeea,Jorge Jenkins,"Realist Figurative, Abstract","Sculpture, Acrylic, Digital","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me, Investment"
3492f8a6-df55-4c37-915c-f82420f5c4d0,Trevor Smith,Minimalist,"Sculpture, Mixed Media, Digital","Build a Collection, Decorate Home/Space"
b609009e-8119-435f-a6a5-fc2f0ca9cb5e,Vanessa Dixon,"Abstract, Expressive Figurative, Realist Figurative","Acrylic, Oil",Inspire Me
27477a1e-c06c-4f9f-a724-ae48f68b6204,Jeremiah Sampson,"Abstract, Landscape, Expressive Figurative",Acrylic,"Build a Collection, Support Artists, Inspire Me, Investment"
6dca427a-2362-40a3-9901-a7ce410af7e1,Justin Lewis,"Contemporary Surrealism, Abstract",Acrylic,"Build a Collection, Decorate Home/Space, Support Artists, Inspire Me, Investment"
80f2865d-a9ab-4f87-a0b4-ec81942066b8,Michelle Myers,"Expressive Figurative, Realist Figurative",Photography,Build a Collection
57b2d47d-c0db-4b8c-b768-e047f35cd349,Kelly Garcia,Expressive Figurative,"Sculpture, Oil","Build a Collection, Decorate Home/Space"
5059b07f-b907-4a23-858f-80cee6318e33,James Shaw,"Realist Figurative, Abstract, Contemporary Surrealism","Oil, Sculpture, Acrylic","Build a Collection, Decorate Home/Space, Inspire Me, Investment"
1ffa9549-eac1-4dcc-97a9-ff232c993026,Jackie Hernandez,"Realist Figurative, Contemporary Surrealism, Landscape","Digital, Oil","Build a Collection, Investment"
b9c840f2-646c-42b5-9bc5-940625e90645,John Green,"Abstract, Expressive Figurative, Realist Figurative","Acrylic, Oil, Sculpture","Build a Collection, Decorate Home/Space"
02126aa9-0c12-492b-89bb-dfb30cb45022,Catherine Boyer,Abstract,"Acrylic, Oil, Sculpture","Build a Collection, Inspire Me"
57ea9a51-bb98-4b1b-ab32-066a770d4b63,Monique Haynes,"Expressive Figurative, Conceptual",Acrylic,Support Artists
0abb704a-4da2-456d-a8b6-e4442106fa23,Jennifer Foster,"Realist Figurative, Abstract, Minimalist","Oil, Ceramics","Build a Collection, Decorate Home/Space, Support Artists"
bfc08854-a2a4-4eb9-8c8e-6fc40d07e908,Lorraine Porter,"Abstract, Contemporary Surrealism, Landscape","Watercolor, Acrylic",Inspire Me
0aceea2b-c19c-4be2-9abc-78499ba904af,Theresa Harvey,Contemporary Surrealism,Ceramics,"Decorate Home/Space, Support Artists, Inspire Me"
b00d4467-c8db-45c1-b160-dd34b8f3a038,Amanda Daniel,"Abstract, Contemporary Surrealism, Expressive Figurative","Watercolor, Oil, Mixed Media","Build a Collection, Decorate Home/Space, Support Artists, Investment"
4f4e75df-6d95-4dd2-b7dc-2de1c0863bc4,Dana Spencer,"Conceptual, Neo-Abstract Expressionist","Acrylic, Oil","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me, Investment"
e3991413-1b8c-4bbf-9679-bf7b84028e4c,Steven Porter,"Expressive Figurative, Abstract, Conceptual","Oil, Mixed Media, Acrylic","Build a Collection, Decorate Home/Space"
67038aca-cbb8-4ed1-b5cf-a4d0cd1e8416,Bryan Bowen,"Contemporary Surrealism, Abstract, Expressive Figurative","Oil, Sculpture","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me"
1ccf8895-3d54-45a3-accb-cdc9542ef340,Cole Knapp,"Abstract, Neo-Abstract Expressionist, Expressive Figurative","Mixed Media, Acrylic, Oil",Build a Collection
508269bd-f6a2-4721-ae05-bcd36c28d9e8,Zachary Flores,Abstract,"Oil, Watercolor, Sculpture","Build a Collection, Decorate Home/Space, Inspire Me"
d7b3a62c-6a27-4b61-ae16-0795460ed57c,Frank Padilla,"Abstract, Minimalist","Acrylic, Digital","Decorate Home/Space, Inspire Me, Investment"
65f9ee29-45c9-4083-9498-ad51691c5a30,William Vargas,Contemporary Surrealism,Ceramics,"Build a Collection, Decorate Home/Space, Inspire Me"
33403083-0521-4ce6-af7d-ea19e1f9b65a,Jose Sanchez,"Abstract, Conceptual","Oil, Mixed Media","Build a Collection, Support Artists"
9e1cf663-1584-4ad3-8564-46092cd5d741,Kimberly Ayers,"Neo-Abstract Expressionist, Conceptual, Contemporary Surrealism",Sculpture,"Build a Collection, Inspire Me"
2560d790-9b89-4af2-909e-680fb821f66d,Douglas Charles,Expressive Figurative,Acrylic,"Build a Collection, Support Artists, Inspire Me"
ea762943-3483-4c1e-af28-ed75607c9693,Lindsey Silva,"Minimalist, Contemporary Surrealism, Abstract",Ceramics,"Support Artists, Investment"
1019832c-4656-48ce-8618-22f86dd4c75f,Hannah Doyle,"Conceptual, Expressive Figurative","Oil, Acrylic, Watercolor","Build a Collection, Inspire Me, Investment"
0d01f137-c53d-4383-994e-0669a20d02ab,Nicole Jones,"Expressive Figurative, Minimalist",Watercolor,"Build a Collection, Decorate Home/Space"
84fcf309-18f8-4c07-89f9-ee369a03718b,Jeremy Clarke,Minimalist,"Prints & Multiples, Oil, Acrylic","Decorate Home/Space, Support Artists"
c2539ff2-8294-4f7a-9bf5-31d8c72488ec,Kelly Holt,"Abstract, Conceptual, Expressive Figurative","Watercolor, Oil, Ceramics","Build a Collection, Decorate Home/Space, Inspire Me, Investment"
e9a2456c-2b97-411d-ad42-d0345aebd0f1,Carol Turner,Abstract,Mixed Media,"Build a Collection, Support Artists"
d1a1fb9a-276a-4790-aa66-42e6b0d9c0bd,Alexis Frank,Abstract,"Oil, Acrylic, Digital",Decorate Home/Space
55044d2b-4ccb-4db0-a4b7-8dccaa1faa90,Cody Vazquez,Conceptual,"Oil, Ceramics","Build a Collection, Decorate Home/Space, Support Artists"
8f386895-c591-419e-847a-8fb7f5340fea,Dominic Russo,"Abstract, Street Art","Digital, Oil","Build a Collection, Decorate Home/Space, Inspire Me"
ad9d2e46-0d73-4b24-b70c-75830ff10abc,Tony Williams,"Abstract, Contemporary Surrealism, Landscape","Acrylic, Oil, Watercolor","Build a Collection, Decorate Home/Space, Support Artists"
587bff68-4488-4674-b321-4ccf68703b37,Randall Peters,"Abstract, Minimalist","Oil, Acrylic","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me"
699ee05b-752e-40b7-93d5-57624efe3593,Dr. James Macdonald Jr.,"Expressive Figurative, Landscape, Realist Figurative","Acrylic, Digital","Build a Collection, Support Artists, Inspire Me"
be259e07-252b-426e-934d-317bc398c57e,Holly Bean,"Abstract, Contemporary Surrealism, Neo-Abstract Expressionist",Digital,Build a Collection
c2c7f4ba-90b6-4714-b191-5feebaf24777,Robert Walsh,"Expressive Figurative, Realist Figurative, Abstract",Oil,"Build a Collection, Decorate Home/Space, Support Artists"
3cb7a396-d05b-4e60-a29b-bb1d51ee15dc,Bob Jackson,"Expressive Figurative, Contemporary Surrealism","Oil, Digital","Decorate Home/Space, Inspire Me, Investment"
05450586-5f62-4599-9375-6f5966e0e97a,Robert King,Expressive Figurative,Acrylic,Build a Collection
4ff352f3-58d0-42f1-9c5b-2e5cf209cde1,Sarah Lowe,Abstract,"Acrylic, Oil, Mixed Media","Build a Collection, Investment"
b53a483e-c652-46f0-9fe1-755e05c541ae,Steve Callahan,"Abstract, Realist Figurative","Watercolor, Acrylic","Decorate Home/Space, Support Artists, Inspire Me"
e5fb9b2a-9a5c-4c63-98cd-3bfe44e7c8b9,Ashley Delgado,"Abstract, Neo-Abstract Expressionist","Oil, Watercolor",Support Artists
1fb226c9-3f7c-401c-9de1-61944dbfa395,Jeff Patterson,Landscape,"Oil, Watercolor","Decorate Home/Space, Investment"
d705a058-e4c6-47b2-bcc6-8bda0a2f133f,Gary Harrell,Abstract,"Acrylic, Watercolor, Oil","Build a Collection, Decorate Home/Space, Inspire Me, Investment"
96799fb6-bd1d-468a-8274-b63efb324b9b,Christopher Hernandez,"Abstract, Minimalist","Mixed Media, Sculpture, Oil","Decorate Home/Space, Support Artists"
6be093ce-c066-4181-b3cf-218f2e3ce324,Jessica Nelson,"Expressive Figurative, Contemporary Surrealism",Acrylic,"Support Artists, Inspire Me"
276ff7ad-620a-4b52-92bc-c7ecccd241ed,David Hardin,"Realist Figurative, Street Art, Abstract","Watercolor, Oil, Prints & Multiples","Decorate Home/Space, Support Artists, Investment"
7919ccbe-cab4-4dae-b8ac-0b9c1f8afc26,Kenneth Nguyen,"Expressive Figurative, Conceptual, Minimalist","Watercolor, Acrylic",Build a Collection
78921209-5c00-482d-a49e-5ea1b14f2be8,Kim Stanton,Realist Figurative,"Mixed Media, Acrylic, Digital","Build a Collection, Decorate Home/Space, Inspire Me, Investment"
616efc1b-673e-4ad9-af31-d2519d0706a3,Sergio Moss,Realist Figurative,Oil,"Build a Collection, Decorate Home/Space, Support Artists, Inspire Me"
d0107516-e100-48b7-8621-2484f66fe3ad,Robert Jefferson,"Abstract, Realist Figurative, Conceptual",Digital,"Decorate Home/Space, Support Artists"
71f61847-bd7a-439e-9735-c100ef69369b,Jason Long,Contemporary Surrealism,"Acrylic, Oil, Digital","Decorate Home/Space, Support Artists, Investment"
a6a7bf87-a4e3-4fc1-9c50-93d521300c9b,Jamie Kim,"Abstract, Realist Figurative","Oil, Sculpture","Build a Collection, Decorate Home/Space, Investment"
17314eff-f5f9-4db1-870f-2b61f2e4512c,Barbara Davis,"Abstract, Expressive Figurative","Oil, Acrylic, Watercolor","Support Artists, Inspire Me"
f7077210-e1b0-473e-97ea-fba8364aedc2,Kelly Jordan,Abstract,"Sculpture, Mixed Media","Build a Collection, Support Artists"
fcfa91c3-3f85-4029-b3e1-b2913ecd9e8b,John Bailey,"Realist Figurative, Contemporary Surrealism, Expressive Figurative","Digital, Oil, Watercolor","Support Artists, Inspire Me, Investment"
92eef7fd-b25c-445e-97d2-38d33498f3d8,Steven Peterson,"Abstract, Conceptual, Street Art","Sculpture, Mixed Media, Oil","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me, Investment"
f9bc6f5d-3945-49ee-9ea1-42f6822510a8,Janice Williams MD,Contemporary Surrealism,"Oil, Acrylic","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me"
8bb805a5-db26-4f85-b145-b85eb5a223a7,Jessica Ruiz,"Abstract, Contemporary Surrealism","Acrylic, Oil","Build a Collection, Investment"
8a2d3a73-9803-4d9a-b5c0-ab14ad05d662,Mike Young,"Realist Figurative, Expressive Figurative",Acrylic,"Build a Collection, Support Artists, Inspire Me"
062035f7-699b-44ef-9eb8-712ff649673f,Adrian Anderson,"Expressive Figurative, Abstract, Contemporary Surrealism",Sculpture,"Build a Collection, Support Artists, Inspire Me"
ddb27372-9979-44a2-b52a-086d6e07f854,Casey Harrington,"Realist Figurative, Expressive Figurative","Oil, Digital","Build a Collection, Inspire Me"
b03b0f20-e37e-4600-b361-006c05874bb0,Caleb Kelley,"Minimalist, Realist Figurative",Sculpture,"Build a Collection, Decorate Home/Space, Support Artists, Investment"
40883fcc-bf94-443f-bd49-84369f34706b,Austin Woods,Realist Figurative,Oil,"Build a Collection, Decorate Home/Space, Support Artists, Inspire Me, Investment"
46febc11-8c1d-4989-99cd-29d9bae61301,Jennifer Foster,"Expressive Figurative, Neo-Abstract Expressionist","Acrylic, Oil, Photography","Build a Collection, Decorate Home/Space, Support Artists, Investment"
fcd22a97-bd6f-403f-be82-19f7f88844bb,Deborah Mejia,Abstract,"Prints & Multiples, Mixed Media, Oil",Inspire Me
aad2e4ab-a250-48d4-8377-f988673af194,Sean Elliott,"Landscape, Contemporary Surrealism","Mixed Media, Digital, Watercolor","Decorate Home/Space, Inspire Me, Investment"
23f31603-c265-4118-9676-0f1bfc0ab340,Sherri Carter,Realist Figurative,"Digital, Oil, Sculpture","Decorate Home/Space, Support Artists, Investment"
